"What are roles in AWS?", "Roles are created and then “assumed” by trusted entities and define a set of permissions for making AWS service requests."
"What do IAM Roles allow?", "With IAM Roles you can delegate permissions to resources for users and services without using permanent credentials (e.g. user name and password)."
"Who can assume an IAM role?", "IAM users or AWS services can assume a role to obtain temporary security credentials that can be used to make AWS API calls."
"What does 'delegating using roles' mean?", "You can delegate using roles."
"Are there any credentials associated with a role?", "There are no credentials associated with a role (password or access keys)."
"How can IAM users utilize a role?", "IAM users can temporarily assume a role to take on permissions for a specific task."
"To whom can a role be assigned?", "A role can be assigned to the federated user who signs in using an external identity provider."
"When are temporary credentials used?", "Temporary credentials are primarily used with IAM roles and automatically expire."
"How can roles be assumed?", "Roles can be assumed temporarily through the console or programmatically with the AWS CLI, Tools for Windows PowerShell, or the API."
"How do IAM roles interact with EC2 instances?", "IAM roles can be used for granting applications running on EC2 instances permissions to AWS API requests using instance profiles."
"How many roles can be assigned to an EC2 instance?", "Only one role can be assigned to an EC2 instance at a time."
"When can a role be assigned to an EC2 instance?", "A role can be assigned at the EC2 instance creation time or at any time afterwards."
"How do instance profiles function when using the AWS CLI or API?", "When using the AWS CLI or API, instance profiles must be created manually (it’s automatic and transparent through the console)."
"Where do applications retrieve temporary security credentials?", "Applications retrieve temporary security credentials from the instance metadata."
"What are the two policies to create an IAM role?", "Create an IAM role with two policies: Permissions policy – grants the user of the role the required permissions on a resource. Trust policy – specifies the trusted accounts that are allowed to assume the role."
"Can wildcards be used as a principal in IAM?", "Wildcards (*) cannot be specified as a principal."
"What are policy documents written in?", "Policy documents are written in JSON (key value pair that consists of an attribute and a value)."
"How are permissions handled by default in AWS?", "All permissions are implicitly denied by default."
"Which policy is applied when there are multiple policies?", "The most restrictive policy is applied."
"What is the purpose of the IAM policy simulator?", "The IAM policy simulator is a tool to help you understand, test, and validate the effects of access control policies."
"What can the Condition element be used for in AWS?", "The Condition element can be used to apply further conditional logic."
"How do roles, policies, and groups differ in AWS IAM?", "In AWS IAM, roles define permissions and access for third-party entities, policies define permissions for resources, and groups manage multiple users with similar permissions."
"What does the AWS STS provide?", "The AWS STS is a web service that enables you to request temporary, limited-privilege credentials for IAM users or for users that you authenticate (federated users)."
"How do temporary security credentials differ from long-term access key credentials?", "Temporary security credentials are short-term, dynamically generated, and are not stored with the user."
"What are the advantages of using AWS STS?", "Advantages of STS include not having to distribute long-term AWS security credentials, providing access without defining an AWS identity, limited credential lifetime, and credentials cannot be reused after expiry."
"Where can users come from in AWS?", "Users can come from three sources: Federation (typically AD), Federation with Mobile Apps, and Cross Account Access."
"What are the recommended IAM best practices?", "Some IAM best practices include locking away AWS root user access keys, using groups, granting least privilege, enabling MFA, using roles for AWS EC2 instances, and monitoring AWS account activity."
"How does IAM relate to various roles in technology?", "Many roles in technology will interact with AWS IAM. For example, users with Admin access manage organization’s access, developers use access keys for application development, DB admins need permissions for AWS databases, and system admins maintain infrastructure in AWS."
"What's the significance of IAM in AWS certifications?", "IAM is the building block of AWS and is covered in nearly every AWS exam, with questions involving services taking on different IAM roles."
"What is Amazon Elastic Compute Cloud (Amazon EC2)?","Amazon Elastic Compute Cloud (Amazon EC2) is a web service with which you can run virtual server “instances” in the cloud."
"On which operating systems can Amazon EC2 instances run?","Amazon EC2 instances can run the Windows, Linux, or MacOS operating systems."
"What does the EC2 simple web service interface allow?","The EC2 simple web service interface allows you to obtain and configure capacity with minimal friction."
"What is EC2 designed for?","EC2 is designed to make web-scale cloud computing easier for developers."
"How does Amazon EC2 change the economics of computing?","Amazon EC2 changes the economics of computing by allowing you to pay only for capacity that you use."
"What does Amazon EC2 provide developers with?","Amazon EC2 provides developers the tools to build failure resilient applications and isolate them from common failure scenarios."
"What is Elastic Web-Scale computing in the context of EC2 benefits?","Elastic Web-Scale computing means you can increase or decrease capacity within minutes not hours and commission one to thousands of instances simultaneously."
"What control does EC2 provide regarding instances?","You have complete control include root access to each instance and can stop and start instances without losing data and using web service APIs."
"What are the Flexible Cloud Hosting Services in EC2?","You can choose from multiple instance types, operating systems, and software packages as well as instances with varying memory, CPU, and storage configurations."
"How is EC2 integrated with AWS?","EC2 is integrated with most AWS services such as S3, RDS, and VPC to provide a complete, secure solution."
"How reliable is EC2?","EC2 offers a highly reliable environment where replacement instances can be rapidly and predictably commissioned with SLAs of 99.99% for each region."
"How secure is EC2?","EC2 works in conjunction with VPC to provide a secure location with an IP address range you specify and offers Security Groups, Network ACLs, and IPSec VPN features."
"Why is EC2 considered inexpensive?","Amazon passes on the financial benefits of scale by charging very low rates and on a capacity consumed basis."
"What is an Amazon Machine Image (AMI)?","An Amazon Machine Image (AMI) is a special type of virtual appliance that is used to create a virtual machine within the Amazon Elastic Compute Cloud (“EC2”)."
"What is an AMI composed of?","An AMI is composed of a template that contains a software configuration (e.g., an operating system, an application server, and applications)."
"What is the root device volume in an AMI?","The root device volume contains the image used to boot the instance."
"What is Amazon EC2?", "Amazon EC2 (Elastic Compute Cloud) is a web service that provides resizable compute capacity in the cloud. It allows developers to run virtual servers on-demand and scale on the fly."
"What are its main benefits?","EC2 offers a wide variety of instance types optimized to fit different use cases, scalable computing capacity, integrated security features with customizable configurations, and you only pay for the compute power you use."
"How does it differ from traditional hosting?","Traditional hosting typically provides you with a fixed amount of resources on a monthly plan, whereas EC2 gives you flexibility to scale up or down based on your application's needs. You're only billed for the resources you actually consume."
"What is Amazon LightSail?", "Amazon LightSail is a cloud service that offers simple virtual private servers. It's designed to be more straightforward and easier to use compared to EC2, targeting developers who need a simple virtual private server (VPS) solution."
"How is LightSail different from EC2?", "While both services offer virtual servers, LightSail is more simplified and comes with a set monthly plan. It's best suited for simpler workloads and quick deployments. EC2, on the other hand, offers more flexibility, configurations, and is designed for more complex applications."
"What are the benefits of LightSail?", "Amazon LightSail offers simplified deployment with its user-friendly interface, fixed and predictable pricing, and it comes pre-configured with the applications and developer stacks you need."
"How do I choose between EC2 and LightSail?","Your choice will largely depend on your project requirements. For simpler projects and quick deployments without the need for extensive configurations, LightSail might be a better fit. However, if you need more flexibility, scalability, and customization, then EC2 would be more appropriate."
"What is AWS Lambda?", "AWS Lambda is a serverless computing service that allows you to run code without provisioning or managing servers. You can set up your code to automatically trigger from other AWS services or call it directly from any web or mobile app."
"How does serverless architecture benefit developers?", "Serverless architecture abstracts away infrastructure management tasks like server provisioning, patching, and scaling. This allows developers to focus solely on their code, leading to faster development and deployment cycles. Additionally, you pay only for the compute time your code is running."
"What is Amazon S3?", "Amazon S3 (Simple Storage Service) is a scalable object storage service. It's designed to store and retrieve any amount of data from anywhere on the web. It's commonly used for backups, archiving, content distribution, and much more."
"How secure is data in Amazon S3?", "Amazon S3 offers robust security features. These include SSL for data in transit, encryption for data at rest, access controls using IAM policies, and integration with AWS logging and monitoring services."
"What is Amazon RDS?", "Amazon RDS (Relational Database Service) is a managed relational database service. It allows you to set up, operate, and scale popular relational databases in the cloud, like MySQL, PostgreSQL, Oracle, and SQL Server."
"Why use RDS instead of managing my own database?", "RDS handles routine database tasks like provisioning, patching, backup, recovery, and scaling. This allows developers to focus on their application logic rather than database management. It can also be more cost-effective and scalable compared to managing your own database instances."
"What is the AWS Free Tier?", "The AWS Free Tier offers a set amount of resources across various AWS services for free, typically for the first 12 months after signing up. This allows new users to explore and learn about AWS services without incurring costs."
"How can I monitor my AWS usage and costs?", "AWS offers the AWS Cost Explorer and AWS Budgets. These tools allow you to visualize your usage patterns, forecast future costs, and set alerts for when your spending exceeds predefined limits."
"What is AWS Elastic Beanstalk", "AWS Elastic Beanstalk is a service that allows you to deploy and scale web applications and services developed with Java, .NET, PHP, Node.js, Python, Ruby, Go, and Docker on familiar servers such as Apache, Nginx, Passenger, and IIS."
"What is AWS CloudFormation?", "AWS CloudFormation is a service that allows you to provision AWS resources using code. It allows you to automate the creation of your infrastructure in a safe, repeatable way."
"What is Amazon S3?","Amazon S3 is object storage built to store and retrieve any amount of data from anywhere – web sites and mobile apps, corporate applications, and data from IoT sensors or devices."
"What types of files can be stored in S3?","You can store any type of file in S3."
"What is the durability design of S3?","S3 is designed to deliver 99.999999999% durability."
"For what kind of applications does S3 store data?","S3 stores data for millions of applications used by market leaders in every industry."
"What security and compliance capabilities does S3 offer?","S3 provides comprehensive security and compliance capabilities that meet even the most stringent regulatory requirements."
"How does S3 assist in data management?","S3 gives customers flexibility in the way they manage data for cost optimization, access control, and compliance."
"What are the typical use cases for S3?","Backup and Storage, Application Hosting, Media Hosting, Software Delivery, and Static Website."
"How does query-in-place functionality in S3 work?","S3 provides query-in-place functionality, allowing you to run powerful analytics directly on your data at rest in S3."
"How supported is Amazon S3?","Amazon S3 is the most supported cloud storage service available, with integration from the largest community of third-party solutions, systems integrator partners, and other AWS services."
"What is the range of file sizes that can be stored in S3?","Files can be anywhere from 0 bytes to 5 TB."
"How much storage is available in S3?","There is unlimited storage available."
"How are files organized in S3?","Files are stored in buckets."
"What are buckets in S3?","Buckets are root level folders."
"How are subfolders within a bucket termed?","Any subfolder within a bucket is known as a “folder”."
"What is a unique aspect of S3 bucket naming?","S3 is a universal namespace so bucket names must be unique globally."
"How many S3 storage classes are there?","There are seven S3 storage classes."
"List the S3 storage classes.","S3 Standard, S3 Intelligent-Tiering, S3 Standard-IA, S3 One Zone-IA, S3 Glacier Instant Retrieval, S3 Glacier Flexible Retrieval, S3 Glacier Deep Archive."
"What code is received upon successful upload to S3?","When you successfully upload a file to S3 you receive a HTTP 200 code."
"What is the nature of S3 in terms of data storage?","S3 is a persistent, highly durable data store."
"What differentiates persistent data stores from transient and ephemeral data stores?","Persistent data stores are non-volatile storage systems that retain data when powered off, whereas transient and ephemeral data stores lose data when powered off."
"What rules do bucket names have to follow?","Names must be unique across all of AWS, be 3 to 63 characters in length, can only contain lowercase letters, numbers, and hyphens, and cannot be formatted as an IP address."
"What are the components of an object in S3?","Key, Value, Version ID, and Metadata."
"What is 'Object sharing' in S3?","Object sharing is the ability to make any object publicly available via a URL."
"What is 'Lifecycle management' in S3?","Lifecycle management allows setting rules to transfer objects between storage classes at defined time intervals."
"How can data be secured in S3?","Data is secured using ACLs and bucket policies."
"What types of charges are associated with S3?","Storage, Requests, Storage management pricing, Data transfer pricing, and Transfer acceleration."
"How should you select a region when creating a bucket in S3?","It is a best practice to create buckets in regions that are physically closest to your users to reduce latency."
"What is AWS Snowball?","With AWS Snowball (Snowball), you can transfer hundreds of terabytes or petabytes of data between your on-premises data centers and Amazon S3."
"How does AWS Snowball ensure data security during transfer?","Uses 256-bit encryption (managed with the AWS KMS) and tamper-resistant enclosures with TPM."
"What are the different AWS Snow offerings?","AWS Snowball, AWS Snowmobile, and AWS Snowcone."
"How does Snowball interact with S3?","Snowball can import to S3 or export from S3."
"What is Amazon Elastic Block Store (EBS)?","Amazon Elastic Block Store (Amazon EBS) provides persistent block storage volumes for use with Amazon EC2 instances in the AWS Cloud."
"How does Amazon EBS ensure data availability and durability?","Each Amazon EBS volume is automatically replicated within its Availability Zone to protect from component failure, offering high availability and durability."
"What are the types of EBS volumes that appear on the AWS exams?","EBS Provisioned IOPS SSD (io1/io2), EBS General Purpose SSD (gp2/gp3), Throughput Optimized HDD (st1), and Cold HDD (sc1)."
"Does EBS volume data persist independently of the life of the instance?","Yes, EBS volume data persists independently of the life of the instance."
"Do EBS volumes need to be attached to an instance?","No, EBS volumes do not need to be attached to an instance."
"Can you attach multiple EBS volumes to an instance?","Yes, you can attach multiple EBS volumes to an instance."
"Can you attach an EBS volume to multiple instances?","No, you cannot attach an EBS volume to multiple instances (use Elastic File Store instead)."
"Do EBS volumes need to be in the same AZ as the instances they are attached to?","Yes, EBS volumes must be in the same AZ as the instances they are attached to."
"Are root EBS volumes deleted on termination by default?","Yes, Root EBS volumes are deleted on termination by default."
"Are extra non-boot volumes deleted on termination by default?","No, Extra non-boot volumes are not deleted on termination by default."
"What are EBS Snapshots?","Snapshots capture a point-in-time state of an instance and are stored on S3."
"What are Instance store volumes?","Instance store volumes are high performance local disks that are physically attached to the host computer on which an EC2 instance runs."
"What does ephemeral mean in the context of instance stores?","Ephemeral means the data is lost when powered off (non-persistent)."
"For what purpose are instance stores ideal?","Instance stores are ideal for temporary storage of information that changes frequently, such as buffers, caches, or scratch data."
"Where are Instance store volume root devices created from?","Instance store volume root devices are created from AMI templates stored on S3."
"Can Instance store volumes be detached/reattached?","No, Instance store volumes cannot be detached/reattached."
"What is EFS?","EFS is a fully managed service that makes it easy to set up and scale file storage in the Amazon Cloud."
"For what applications is EFS suitable?","Good for big data and analytics, media processing workflows, content management, web serving, home directories etc."
"Which protocol does EFS use?","EFS uses the NFS protocol."
"How does EFS pricing work?","Pay for what you use (no pre-provisioning required)."
"Up to what size can EFS scale?","Can scale up to petabytes."
"How does AWS Storage Gateway provide cloud storage access?","AWS Storage Gateway is a hybrid cloud storage service that gives you on-premises access to virtually unlimited cloud storage."
"What are the three types of gateways offered by AWS Storage Gateway?","File Gateway, Volume Gateway, and Tape Gateway."
"What is the purpose of AWS Backup?","The AWS Backup service offers a centralized backup console, APIs, and command line interface for managing backups across AWS services."
"Which file system does Amazon FSx for Lustre use?","Based on Lustre, the world’s most popular high-performance file system."
"For what kind of workloads is Amazon FSx for Lustre suitable?","It is suitable for workloads ranging from genome sequencing to video transcoding to machine learning to fraud detection."
"What does Amazon FSx for Windows File Server provide?","Your applications and end users can access reliable, performant, and secure shared file storage with Amazon FSx for Windows File Server."
"Which protocol is supported natively by Windows Server in Amazon FSx for Windows File Server?","Windows Server supports the SMB (Server Message Block) protocol natively."
"What does the AWS shared responsibility model define?","The AWS shared responsibility model defines what the AWS account holder/user and AWS are responsible for in terms of security and compliance."
"What is the shared responsibility between AWS and the customer?","Security and Compliance is a shared responsibility between AWS and the customer."
"How does the shared model help customers?","This shared model can help relieve customer’s operational burdens as AWS operates, manages, and controls components from the host operating system and virtualization layer down to the physical security of the facilities."
"What is the customer's responsibility in the AWS shared responsibility model?","The customer assumes responsibility and management of the guest operating system (including updates and security patches), other associated application software, and the configuration of the AWS provided security group firewall."
"What does 'Security of the Cloud' refer to and who is responsible for it?","'Security of the Cloud' refers to AWS's responsibility for protecting the infrastructure that runs all the services offered in the AWS Cloud. AWS is responsible for this."
"What composes the infrastructure of the AWS Cloud?","This infrastructure is composed of the hardware, software, networking, and facilities that run AWS Cloud services."
"Who is responsible for 'Security in the Cloud'?","Customers are responsible for 'Security in the Cloud'."
"What are some responsibilities of customers for EC2 in terms of security?","For EC2, customers are responsible for network level security (NACLs, security groups), operating system patches and updates, IAM user access management, and client and server-side data encryption."
"What are 'Inherited Controls' in the AWS shared responsibility model?","'Inherited Controls' are controls which a customer fully inherits from AWS, such as Physical and Environmental controls."
"What are 'Shared Controls'?","'Shared Controls' are controls that apply to both the infrastructure layer and customer layers, but in separate contexts or perspectives."
"In the AWS shared security model, how does a shared control function?","In the shared security model, AWS provides the requirements for the infrastructure and the customer must provide their own control implementation within their use of AWS services."
"Give examples of shared controls in the AWS shared responsibility model.","Examples of shared controls include Patch Management, Configuration Management, and Awareness & Training."
"How does Patch Management work as a shared control?","AWS is responsible for patching and fixing flaws within the infrastructure, while customers are responsible for patching their guest OS and applications."
"How does Configuration Management work as a shared control?","AWS maintains the configuration of its infrastructure devices, but a customer is responsible for configuring their own guest operating systems, databases, and applications."
"What is the difference in training between AWS and customers in the shared responsibility model?","Awareness & Training indicates that AWS trains AWS employees, but a customer must train their own employees."
"What are 'Customer Specific' controls in the AWS shared responsibility model?","'Customer Specific' controls are solely the responsibility of the customer based on the application they are deploying within AWS services."
"Give examples of customer specific controls in the AWS shared responsibility model.","Examples of customer specific controls include Service and Communications Protection or Zone Security which may require a customer to route or zone data within specific security environments."



